,cookie,type,retention,description
0,__cf_bm,Functional,1 day,"This cookie is used to distinguish between humans and bots. This is beneficial for the website, in order to make valid reports on the use of their website."
1,_nbuild_session,Functional,Session,Unique id that identifies the user's session.
2,_nbuild_token,Functional,Session,Ensures visitor browsing-security by preventing cross-site request forgery. This cookie is essential for the security of the website and visitor.
3,AWSALB,Functional,7 days,"Registers which server-cluster is serving the visitor. This is used in context with load balancing, in order to optimize user experience."
4,AWSALBCORS,Functional,6 days,"Registers which server-cluster is serving the visitor. This is used in context with load balancing, in order to optimize user experience."
5,CONSENT [x2],Functional,2 years,Used to detect if the visitor has accepted the marketing category in the cookie banner. This cookie is necessary for GDPR-compliance of the website.
6,CookieConsent,Functional,1 year,Stores the user's cookie consent state for the current domain
7,has_js,Functional,Session,Registers whether or not the user has activated JavaScript in the browser.
8,persist:root,Functional,Persistent,"This cookie stores visitor credentials in an encrypted cookie in order to allow the visitor to stay logged in on reentry, if the visitor has accepted the 'stay logged in'-button."
9,PHPSESSID [x2],Functional,Session,Preserves user session state across page requests.
10,persist:mte_viewer_volume,Functional,Persistent,Used by video players to remember the user's preferred sound volume.
11,__qca,Analytics,1 year,"Collects data on the user's visits to the website, such as the number of visits, average time spent on the website and what pages have been loaded with the purpose of generating reports for optimising the website content."
12,__utm.gif,Analytics,Session,Google Analytics Tracking Code that logs details about the visitor's browser and computer.
13,__utma,Analytics,2 years,Collects data on the number of times a user has visited the website as well as dates for the first and most recent visit. Used by Google Analytics.
14,__utmb,Analytics,1 day,Registers a timestamp with the exact time of when the user accessed the website. Used by Google Analytics to calculate the duration of a website visit.
15,__utmc,Analytics,Session,Registers a timestamp with the exact time of when the user leaves the website. Used by Google Analytics to calculate the duration of a website visit.
16,__utmt,Analytics,1 day,Used to throttle the speed of requests to the server.
17,__utmz,Analytics,6 months,"Collects data on where the user came from, what search engine was used, what link was clicked and what search term was used. Used by Google Analytics."
18,_at.hist.#,Analytics,Persistent,Used by the social sharing platform AddThis to store the user's usage history of the AddThis sharing widget
19,_dlt,Analytics,1 day,Sets a unique ID for the session. This allows the website to obtain data on visitor behaviour for statistical purposes.
20,_ga,Analytics,2 years,Registers a unique ID that is used to generate statistical data on how the visitor uses the website.
